date,decision_byd_weight,decision_etf_weight,decision_cash_weight,position_byd_weight,position_etf_weight,position_cash_weight,common_open_eligible,byd_return,etf_return,gross_return,turnover_units,cost,financing_cost,borrowed_weight,net_return
2020-08-26,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.05487811,-0.01479547,0.05487811,0.00000000,0.00000000,0.00000000,0.00000000,0.05487811
2020-08-27,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.01734099,-0.00000006,-0.01734099,0.00000000,0.00000000,0.00000000,0.00000000,-0.01734099
2020-08-28,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02376475,0.03268556,0.02376475,0.00000000,0.00000000,0.00000000,0.00000000,0.02376475
2020-08-31,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00034484,-0.01454243,-0.00034484,0.00000000,0.00000000,0.00000000,0.00000000,-0.00034484
2020-09-01,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.10219563,0.00434032,0.10219563,0.00000000,0.00000000,0.00000000,0.00000000,0.10219563
2020-09-02,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.03128899,-0.00259283,-0.03128899,0.00000000,0.00000000,0.00000000,0.00000000,-0.03128899
2020-09-03,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.04392771,-0.02079715,-0.04392771,0.00000000,0.00000000,0.00000000,0.00000000,-0.04392771
2020-09-04,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00765756,0.01327414,0.00765756,0.00000000,0.00000000,0.00000000,0.00000000,0.00765756
2020-09-07,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.07152443,-0.00698667,0.07152443,0.00000000,0.00000000,0.00000000,0.00000000,0.07152443
2020-09-08,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.08208171,0.00175877,-0.08208171,0.00000000,0.00000000,0.00000000,0.00000000,-0.08208171
2020-09-09,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00193159,-0.00790156,-0.00193159,0.00000000,0.00000000,0.00000000,0.00000000,-0.00193159
2020-09-10,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00011376,-0.01061944,0.00011376,0.00000000,0.00000000,0.00000000,0.00000000,0.00011376
2020-09-11,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.03927151,0.00536664,0.03927151,0.00000000,0.00000000,0.00000000,0.00000000,0.03927151
2020-09-14,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02968230,0.00355874,0.02968230,0.00000000,0.00000000,0.00000000,0.00000000,0.02968230
2020-09-15,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.06669520,0.00265974,0.06669520,0.00000000,0.00000000,0.00000000,0.00000000,0.06669520
2020-09-16,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.05215376,0.00088403,0.05215376,0.00000000,0.00000000,0.00000000,0.00000000,0.05215376
2020-09-17,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.08037173,0.00441701,0.08037173,0.00000000,0.00000000,0.00000000,0.00000000,0.08037173
2020-09-18,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.01763289,0.01758998,0.01763289,0.00000000,0.00000000,0.00000000,0.00000000,0.01763289
