date,volume,session_status,secondary_status,secondary_open_return_difference,open_research_eligible
2021-06-15,21100300.000000000000,traded,common,0.000000003781,True
2021-06-16,28616000.000000000000,traded,common,0.000000007623,True
2021-06-17,31889900.000000000000,traded,common,0.000000046241,True
2021-06-18,22260261.000000000000,traded,common,0.000000075480,True
2021-06-21,12783764.000000000000,traded,common,0.000000075237,True
2021-06-22,17641888.000000000000,traded,common,0.000000034013,True
2021-06-23,18607500.000000000000,traded,common,0.000000005307,True
2021-06-24,10824563.000000000000,traded,common,0.000000011434,True
2021-06-25,12700300.000000000000,traded,common,0.000000036567,True
2021-06-28,16382076.000000000000,traded,common,0.000000033042,True
2021-06-29,13116500.000000000000,traded,common,0.000000043814,True
2021-06-30,12443300.000000000000,traded,common,0.000000036650,True
2021-07-01,18700700.000000000000,traded,common,0.000000040459,True
2021-07-02,16444300.000000000000,traded,common,0.000000040206,True
2021-07-05,17502700.000000000000,traded,common,0.000000044211,True
2021-07-06,12484800.000000000000,traded,common,0.000000057378,True
2021-07-07,15448820.000000000000,traded,common,0.000000057287,True
2021-07-08,19220300.000000000000,traded,common,0.000000040888,True
2021-07-09,17404269.000000000000,traded,common,0.000000001409,True
2021-07-12,23450355.000000000000,traded,common,0.000000042838,True
2021-07-13,19516800.000000000000,traded,common,0.000000003955,True
2021-07-14,19962300.000000000000,traded,common,0.000000007847,True
2021-07-15,14803400.000000000000,traded,common,0.000000032647,True
2021-07-16,19433700.000000000000,traded,common,0.000000044211,True
2021-07-19,17114603.000000000000,traded,common,0.000000036484,True
2021-07-20,15339400.000000000000,traded,common,0.000000032734,True
2021-07-21,30465400.000000000000,traded,common,0.000000020103,True
2021-07-22,30782000.000000000000,traded,common,0.000000053165,True
2021-07-23,22218100.000000000000,traded,common,0.000000027911,True
2021-07-26,27000100.000000000000,traded,common,0.000000008798,True
2021-07-27,23409854.000000000000,traded,common,0.000000002190,True
2021-07-28,21495600.000000000000,traded,common,0.000000041962,True
2021-07-29,18295700.000000000000,traded,common,0.000000012522,True
2021-07-30,18567800.000000000000,traded,common,0.000000009119,True
2021-08-02,17859810.000000000000,traded,common,0.000000063361,True
2021-08-03,19693200.000000000000,traded,common,0.000000003788,True
2021-08-04,22117600.000000000000,traded,common,0.000000017187,True
2021-08-05,13408700.000000000000,traded,common,0.000000011275,True
2021-08-06,15726100.000000000000,traded,common,0.000000041513,True
2021-08-09,23337400.000000000000,traded,common,0.000000041783,True
2021-08-10,21310606.000000000000,traded,common,0.000000006087,True
2021-08-11,23668200.000000000000,traded,common,0.000000074595,True
2021-08-12,31391319.000000000000,traded,common,0.000000052897,True
2021-08-13,19181589.000000000000,traded,common,0.000000014666,True
2021-08-16,19191961.000000000000,traded,common,0.000000055943,True
2021-08-17,20941500.000000000000,traded,common,0.000000019934,True
2021-08-18,21532400.000000000000,traded,common,0.000000018453,True
2021-08-19,15670900.000000000000,traded,common,0.000000027968,True
2021-08-20,23561794.000000000000,traded,common,0.000000007387,True
2021-08-23,33444846.000000000000,traded,common,0.000000016478,True
2021-08-24,17838500.000000000000,traded,common,0.000000048030,True
2021-08-25,22728900.000000000000,traded,common,0.000000048999,True
2021-08-26,16845600.000000000000,traded,common,0.000000020982,True
2021-08-27,13879100.000000000000,traded,common,0.000000000000,True
2021-08-30,20100300.000000000000,traded,common,0.000000027093,True
2021-08-31,19504815.000000000000,traded,common,0.000000012094,True
2021-09-01,15645600.000000000000,traded,common,0.000000006307,True
2021-09-02,13353400.000000000000,traded,common,0.000000011699,True
2021-09-03,18579898.000000000000,traded,common,0.000000001280,True
2021-09-06,30843579.000000000000,traded,common,0.000000011633,True
2021-09-07,20128321.000000000000,traded,common,0.000000008325,True
2021-09-08,22313367.000000000000,traded,common,0.000000016341,True
2021-09-09,20687100.000000000000,traded,common,0.000000007874,True
2021-09-10,27340300.000000000000,traded,common,0.000000012034,True
2021-09-13,25337300.000000000000,traded,common,0.000000035979,True
2021-09-14,27176143.000000000000,traded,common,0.000000023211,True
2021-09-15,25078700.000000000000,traded,common,0.000000022126,True
2021-09-16,24990300.000000000000,traded,common,0.000000014521,True
2021-09-17,24908300.000000000000,traded,common,0.000000058870,True
2021-09-22,31001200.000000000000,traded,common,0.000000082393,True
2021-09-23,25588600.000000000000,traded,common,0.000000065866,True
2021-09-24,23464762.000000000000,traded,common,0.000000053814,True
2021-09-27,28477600.000000000000,traded,common,0.000000067088,True
2021-09-28,27675099.000000000000,traded,common,0.000000079112,True
2021-09-29,24969853.000000000000,traded,common,0.000000011187,True
2021-09-30,20055586.000000000000,traded,common,0.000000006447,True
2021-10-08,16027200.000000000000,traded,common,0.000000018815,True
2021-10-11,21201865.000000000000,traded,common,0.000000003624,True
2021-10-12,22863087.000000000000,traded,common,0.000000042157,True
2021-10-13,19069600.000000000000,traded,common,0.000000017294,True
2021-10-14,17875925.000000000000,traded,common,0.000000058231,True
2021-10-15,19232652.000000000000,traded,common,0.000000067217,True
2021-10-18,96225992.000000000000,traded,common,0.000000012643,True
2021-10-19,117676900.000000000000,traded,common,0.000000005490,True
2021-10-20,65505100.000000000000,traded,common,0.000000069994,True
2021-10-21,23177544.000000000000,traded,common,0.000000020642,True
2021-10-22,25985100.000000000000,traded,common,0.000000016161,True
2021-10-25,18573500.000000000000,traded,common,0.000000034833,True
2021-10-26,33832000.000000000000,traded,common,0.000000036791,True
2021-10-27,29360574.000000000000,traded,common,0.000000012753,True
2021-10-28,27477979.000000000000,traded,common,0.000000015018,True
2021-10-29,29906353.000000000000,traded,common,0.000000039075,True
2021-11-01,24225320.000000000000,traded,common,0.000000055789,True
2021-11-02,24410800.000000000000,traded,common,0.000000025149,True
2021-11-03,16800270.000000000000,traded,common,0.000000036502,True
2021-11-04,15955562.000000000000,traded,common,0.000000009113,True
2021-11-05,21886527.000000000000,traded,common,0.000000080757,True
2021-11-08,17970300.000000000000,traded,common,0.000000011275,True
2021-11-09,14026500.000000000000,traded,common,0.000000056226,True
2021-11-10,65856854.000000000000,traded,common,0.000000017261,True
2021-11-11,20251501.000000000000,traded,common,0.000000000000,True
2021-11-12,16406400.000000000000,traded,common,0.000000055012,True
2021-11-15,16292546.000000000000,traded,common,0.000000028588,True
2021-11-16,27605570.000000000000,traded,common,0.000000017140,True
2021-11-17,26495900.000000000000,traded,common,0.000000034112,True
2021-11-18,19592800.000000000000,traded,common,0.000000046280,True
2021-11-19,25487568.000000000000,traded,common,0.000000076296,True
2021-11-22,13390000.000000000000,traded,common,0.000000075179,True
2021-11-23,51159025.000000000000,traded,common,0.000000078556,True
2021-11-24,17563700.000000000000,traded,common,0.000000062196,True
2021-11-25,22244700.000000000000,traded,common,0.000000024260,True
2021-11-26,16503500.000000000000,traded,common,0.000000077915,True
2021-11-29,17816700.000000000000,traded,common,0.000000017531,True
2021-11-30,14297348.000000000000,traded,common,0.000000062879,True
2021-12-01,28726900.000000000000,traded,common,0.000000034178,True
2021-12-02,16586734.000000000000,traded,common,0.000000009351,True
2021-12-03,28751100.000000000000,traded,common,0.000000003784,True
2021-12-06,27140800.000000000000,traded,common,0.000000012915,True
2021-12-07,20023600.000000000000,traded,common,0.000000040630,True
2021-12-08,19738475.000000000000,traded,common,0.000000053423,True
2021-12-09,55469900.000000000000,traded,common,0.000000016669,True
2021-12-10,21756600.000000000000,traded,common,0.000000016590,True
2021-12-13,23151100.000000000000,traded,common,0.000000040848,True
2021-12-14,22056200.000000000000,traded,common,0.000000016625,True
2021-12-15,29728180.000000000000,traded,common,0.000000028322,True
2021-12-16,24456700.000000000000,traded,common,0.000000041644,True
2021-12-17,20582100.000000000000,traded,common,0.000000032224,True
2021-12-20,20533161.000000000000,traded,common,0.008716291934,True
2021-12-21,38333454.000000000000,traded,common,0.008729865130,True
2021-12-22,28153726.000000000000,traded,common,0.000000003328,True
2021-12-23,20537900.000000000000,traded,common,0.000000003923,True
2021-12-24,21961600.000000000000,traded,common,0.000000020444,True
