attribution_type,date,window,evaluation,instrument,entity,sector,state,value,gross_return,weight,periods,transaction_cost
position,2026-02-02,2026H1,reporting,000300,CSI300 fallback,CSI300,risk_off,0.01426127854,0.01626127854,1,,
position,2026-02-24,2026H1,reporting,002007,华兰生物,Health Care,risk_on,-0.003685774352,-0.01274309741,0.25,,
position,2026-02-24,2026H1,reporting,601600,中国铝业,Materials,risk_on,0.007445312522,0.03178125009,0.25,,
position,2026-02-24,2026H1,reporting,601872,招商轮船,Industrials,risk_on,0.02584295335,0.1053718134,0.25,,
position,2026-02-24,2026H1,reporting,603629,利通电子,Technology,risk_on,0.04352556535,0.1761022614,0.25,,
position,2026-03-10,2026H1,reporting,301308,江波龙,Technology,risk_on,0.009956850812,0.04182740325,0.25,,
position,2026-03-10,2026H1,reporting,600026,中远海能,Industrials,risk_on,0.02779125557,0.1131650223,0.25,,
position,2026-03-10,2026H1,reporting,600900,长江电力,Utilities,risk_on,-0.001347778349,-0.003391113394,0.25,,
position,2026-03-10,2026H1,reporting,600938,中国海油,Energy,risk_on,-0.007564554623,-0.02825821849,0.25,,
position,2026-03-24,2026H1,reporting,000300,CSI300 fallback,CSI300,risk_off,0.00433796527,0.00633796527,1,,
position,2026-04-08,2026H1,reporting,000300,CSI300 fallback,CSI300,risk_off,0.0482024144,0.0482024144,1,,
position,2026-04-22,2026H1,reporting,002475,立讯精密,Technology,risk_on,0.0342581772,0.1390327088,0.25,,
position,2026-04-22,2026H1,reporting,600522,中天科技,Industrials,risk_on,0.07296426893,0.2938570757,0.25,,
position,2026-04-22,2026H1,reporting,601985,中国核电,Utilities,risk_on,0.003139420773,0.01455768309,0.25,,
position,2026-04-22,2026H1,reporting,603806,福斯特,Materials,risk_on,0.00949443787,0.03997775148,0.25,,
position,2026-05-11,2026H1,reporting,002709,天赐材料,Materials,risk_on,-0.02853679578,-0.1126471831,0.25,,
position,2026-05-11,2026H1,reporting,300133,华策影视,Communication Services,risk_on,-0.03019609127,-0.1192843651,0.25,,
position,2026-05-11,2026H1,reporting,600522,中天科技,Industrials,risk_on,-0.02080413558,-0.08171654232,0.25,,
position,2026-05-11,2026H1,reporting,688521,芯原股份,Technology,risk_on,-0.005742841233,-0.02147136493,0.25,,
position,2026-05-25,2026H1,reporting,300133,华策影视,Communication Services,risk_on,-0.04157137747,-0.1647855099,0.25,,
position,2026-05-25,2026H1,reporting,300782,卓胜微,Technology,risk_on,-0.04046914613,-0.1603765845,0.25,,
position,2026-05-25,2026H1,reporting,603806,福斯特,Materials,risk_on,-0.03330117568,-0.1317047027,0.25,,
position,2026-05-25,2026H1,reporting,688676,金盘科技,Industrials,risk_on,-0.0266551787,-0.1051207148,0.25,,
position,2026-06-08,2026H1,reporting,300548,长芯博创,Technology,risk_on,0.04504427312,0.1816770925,0.25,,
position,2026-06-08,2026H1,reporting,301291,明阳电气,Industrials,risk_on,-0.03961661615,-0.1569664646,0.25,,
position,2026-06-08,2026H1,reporting,603392,万泰生物,Health Care,risk_on,-0.03047130855,-0.1203852342,0.25,,
position,2026-06-08,2026H1,reporting,603806,福斯特,Materials,risk_on,-0.001292423005,-0.003669692021,0.25,,
position,2026-06-23,2026H1,reporting,300408,三环集团,Technology,risk_on,-0.0258982039,-0.1020928156,0.25,,
