factor_a,factor_b,rank_correlation
distance_low_20,up_down_volume_ratio_20,0.5838778637
distance_low_20,volatility_10,-0.4550549361
distance_low_20,volatility_20,-0.4398211496
distance_low_20,volatility_60,-0.3350715614
distance_low_20,downside_volatility_20,-0.1356867303
distance_low_20,downside_volatility_60,-0.209699313
distance_low_20,idiosyncratic_volatility_60,-0.3339881392
distance_low_20,intraday_range_20,-0.4101133924
distance_low_20,drawdown_20,0.4725541727
distance_low_20,drawdown_63,0.4069349404
distance_low_20,recovery_from_low_20,1
distance_low_20,recovery_from_low_63,0.7230901064
distance_low_20,amihud_20,-0.02866473178
distance_low_20,amount_stability_20,-0.2342867876
distance_low_20,residual_momentum_20,0.7050527915
distance_low_20,residual_momentum_60,0.4167897816
price_to_ma20,momentum_5,0.7016034271
price_to_ma20,momentum_10,0.8894305477
price_to_ma20,momentum_20,0.8219281089
price_to_ma20,momentum_63,0.411945364
price_to_ma20,momentum_126,0.2857444192
price_to_ma20,trend_efficiency_20,0.07619823395
price_to_ma20,trend_efficiency_60,0.1263007056
price_to_ma20,positive_day_ratio_20,0.5265280898
price_to_ma20,positive_day_ratio_60,0.2651569461
price_to_ma20,reversal_1,-0.3155391316
price_to_ma20,reversal_3,-0.5562515579
price_to_ma20,reversal_5,-0.7016034271
price_to_ma20,distance_high_20,0.7719340756
price_to_ma20,distance_high_60,0.6195921453
price_to_ma20,distance_low_20,0.8312243458
price_to_ma20,price_to_ma20,1
price_to_ma20,price_to_ma60,0.7023648213
price_to_ma20,volume_ratio_5,0.06899768372
price_to_ma20,volume_ratio_20,0.270934098
price_to_ma20,amount_ratio_20,0.3760787781
price_to_ma20,volume_price_confirmation_20,0.00364990524
price_to_ma20,up_down_volume_ratio_20,0.630171726
price_to_ma20,volatility_10,-0.1813360053
price_to_ma20,volatility_20,-0.1135974013
price_to_ma20,volatility_60,-0.03201925446
price_to_ma20,downside_volatility_20,0.1874031699
price_to_ma20,downside_volatility_60,0.0823763016
price_to_ma20,idiosyncratic_volatility_60,-0.04261378526
price_to_ma20,intraday_range_20,-0.0955378834
price_to_ma20,drawdown_20,0.7719340756
price_to_ma20,drawdown_63,0.612358014
price_to_ma20,recovery_from_low_20,0.8312243458
price_to_ma20,recovery_from_low_63,0.5767761256
price_to_ma20,amihud_20,0.04769626616
price_to_ma20,amount_stability_20,-0.159005004
price_to_ma20,residual_momentum_20,0.7901192154
price_to_ma20,residual_momentum_60,0.4163403828
price_to_ma60,momentum_5,0.4114999079
price_to_ma60,momentum_10,0.5812966137
price_to_ma60,momentum_20,0.7889939792
price_to_ma60,momentum_63,0.7999667672
price_to_ma60,momentum_126,0.533760408
price_to_ma60,trend_efficiency_20,0.06126654271
price_to_ma60,trend_efficiency_60,0.1908346385
price_to_ma60,positive_day_ratio_20,0.481812225
price_to_ma60,positive_day_ratio_60,0.4727182409
price_to_ma60,reversal_1,-0.1761716138
price_to_ma60,reversal_3,-0.3178013378
price_to_ma60,reversal_5,-0.4114999079
price_to_ma60,distance_high_20,0.4838177028
price_to_ma60,distance_high_60,0.7381793315
price_to_ma60,distance_low_20,0.6608021746
price_to_ma60,price_to_ma20,0.7023648213
price_to_ma60,price_to_ma60,1
price_to_ma60,volume_ratio_5,0.01546307562
price_to_ma60,volume_ratio_20,0.09118507623
